datetime,open,close,high,low,value,volume,begin,end
2025-04-04 14:00:00,2807.4,2811.32,2820.48,2790.77,22396060669.490005,0,2025-04-04 14:00:00,2025-04-04 14:59:59
2025-04-04 15:00:00,2811.37,2814.87,2831.95,2796.67,14824088328.64,0,2025-04-04 15:00:00,2025-04-04 15:59:59
2025-04-04 16:00:00,2814.89,2805.01,2833.95,2800.44,11178760631.949997,0,2025-04-04 16:00:00,2025-04-04 16:59:59
2025-04-04 17:00:00,2805.24,2782.5,2818.85,2778.43,16674297000.240005,0,2025-04-04 17:00:00,2025-04-04 17:59:59
2025-04-04 18:00:00,2782.5,2781.97,2814.92,2780.61,11887297418.289993,0,2025-04-04 18:00:00,2025-04-04 18:54:02
2025-04-07 09:00:00,2648.09,2663.15,2664.28,2646.7,3030941727.44,0,2025-04-07 09:00:00,2025-04-07 09:59:59
2025-04-07 10:00:00,2663.29,2718.05,2721.03,2650.55,28575476428.199997,0,2025-04-07 10:00:00,2025-04-07 10:59:59
2025-04-07 11:00:00,2718.12,2696.67,2728.44,2692.47,13508746642.79,0,2025-04-07 11:00:00,2025-04-07 11:59:59
2025-04-07 12:00:00,2696.69,2664.32,2708.18,2664.32,12874787581.309998,0,2025-04-07 12:00:00,2025-04-07 12:59:59
2025-04-07 13:00:00,2664.41,2706.44,2710.44,2658.0,16756818923.360008,0,2025-04-07 13:00:00,2025-04-07 13:59:59
2025-04-07 14:00:00,2706.48,2699.47,2722.37,2691.75,11155879571.279999,0,2025-04-07 14:00:00,2025-04-07 14:59:59
2025-04-07 15:00:00,2699.6,2702.78,2706.24,2679.43,10610476710.75,0,2025-04-07 15:00:00,2025-04-07 15:59:59
2025-04-07 16:00:00,2702.75,2735.86,2739.01,2684.51,15381751262.39,0,2025-04-07 16:00:00,2025-04-07 16:59:59
2025-04-07 17:00:00,2736.07,2741.98,2791.28,2717.12,40142424906.37001,0,2025-04-07 17:00:00,2025-04-07 17:59:59
2025-04-07 18:00:00,2742.22,2729.89,2760.45,2711.38,13594213458.73999,0,2025-04-07 18:00:00,2025-04-07 18:54:02
2025-04-08 09:00:00,2775.78,2777.8,2779.45,2774.7,912370337.04,0,2025-04-08 09:00:00,2025-04-08 09:59:59
2025-04-08 10:00:00,2777.92,2755.56,2778.29,2744.16,12296365042.3,0,2025-04-08 10:00:00,2025-04-08 10:59:59
2025-04-08 11:00:00,2755.58,2746.48,2762.53,2745.35,6200452723.060001,0,2025-04-08 11:00:00,2025-04-08 11:59:59
2025-04-08 12:00:00,2746.45,2741.61,2749.71,2730.45,9424188090.279999,0,2025-04-08 12:00:00,2025-04-08 12:59:59
2025-04-08 13:00:00,2741.54,2749.56,2754.98,2727.98,7764767838.139999,0,2025-04-08 13:00:00,2025-04-08 13:59:59
2025-04-08 14:00:00,2749.55,2770.53,2772.09,2749.12,7812966709.019997,0,2025-04-08 14:00:00,2025-04-08 14:59:59
2025-04-08 15:00:00,2770.39,2771.81,2772.16,2757.99,5866723393.540001,0,2025-04-08 15:00:00,2025-04-08 15:59:59
2025-04-08 16:00:00,2771.92,2767.83,2780.46,2762.26,9295121985.940002,0,2025-04-08 16:00:00,2025-04-08 16:59:59
2025-04-08 17:00:00,2767.82,2756.96,2772.35,2754.42,7392608081.639999,0,2025-04-08 17:00:00,2025-04-08 17:59:59
2025-04-08 18:00:00,2756.92,2746.41,2758.99,2737.56,7181677359.140007,0,2025-04-08 18:00:00,2025-04-08 18:54:02
2025-04-09 09:00:00,2689.77,2691.56,2695.6,2688.17,1440333679.25,0,2025-04-09 09:00:00,2025-04-09 09:59:59
2025-04-09 10:00:00,2691.53,2686.9,2707.15,2671.8,15512124814.12,0,2025-04-09 10:00:00,2025-04-09 10:59:59
2025-04-09 11:00:00,2686.98,2680.88,2698.85,2674.74,9192424068.83,0,2025-04-09 11:00:00,2025-04-09 11:59:59
2025-04-09 12:00:00,2680.87,2652.59,2686.75,2650.87,9605162240.240002,0,2025-04-09 12:00:00,2025-04-09 12:59:59
2025-04-09 13:00:00,2652.58,2635.85,2653.19,2626.26,19163764877.14,0,2025-04-09 13:00:00,2025-04-09 13:59:59
2025-04-09 14:00:00,2635.63,2614.55,2635.64,2598.85,23659180553.050003,0,2025-04-09 14:00:00,2025-04-09 14:59:59
2025-04-09 15:00:00,2614.66,2639.93,2643.45,2613.34,13369623161.75,0,2025-04-09 15:00:00,2025-04-09 15:59:59
2025-04-09 16:00:00,2639.92,2661.79,2669.78,2632.69,14441979543.159988,0,2025-04-09 16:00:00,2025-04-09 16:59:59
2025-04-09 17:00:00,2662.61,2627.85,2675.53,2627.23,11764503643.530014,0,2025-04-09 17:00:00,2025-04-09 17:59:59
2025-04-09 18:00:00,2628.17,2650.69,2655.41,2626.65,5647830915.539993,0,2025-04-09 18:00:00,2025-04-09 18:54:02
2025-04-10 09:00:00,2790.31,2799.79,2801.19,2787.83,2780792776.66,0,2025-04-10 09:00:00,2025-04-10 09:59:59
2025-04-10 10:00:00,2799.63,2758.98,2800.96,2750.84,17383310495.21,0,2025-04-10 10:00:00,2025-04-10 10:59:59
2025-04-10 11:00:00,2759.01,2745.14,2768.42,2745.14,8527364500.760002,0,2025-04-10 11:00:00,2025-04-10 11:59:59
2025-04-10 12:00:00,2744.94,2763.6,2770.14,2742.48,7065504479.16,0,2025-04-10 12:00:00,2025-04-10 12:59:59
2025-04-10 13:00:00,2763.62,2761.54,2774.56,2758.51,6424301695.339996,0,2025-04-10 13:00:00,2025-04-10 13:59:59
2025-04-10 14:00:00,2761.51,2763.09,2769.05,2750.08,5950711875.800003,0,2025-04-10 14:00:00,2025-04-10 14:59:59
2025-04-10 15:00:00,2763.12,2781.8,2796.87,2763.1,15621134372.580002,0,2025-04-10 15:00:00,2025-04-10 15:59:59
2025-04-10 16:00:00,2781.89,2756.21,2795.09,2755.66,13217993512.870003,0,2025-04-10 16:00:00,2025-04-10 16:59:59
2025-04-10 17:00:00,2756.34,2756.69,2777.63,2745.74,8029502342.720001,0,2025-04-10 17:00:00,2025-04-10 17:59:59
2025-04-10 18:00:00,2756.75,2764.28,2773.63,2753.81,5684565506.709991,0,2025-04-10 18:00:00,2025-04-10 18:54:02
2025-04-11 09:00:00,2825.03,2823.04,2827.92,2820.38,2141466697.54,0,2025-04-11 09:00:00,2025-04-11 09:59:59
